code,description,sex,diagnosis_count
H90,Conductive and sensorineural hearing loss,Female,1941.0
H91,Other hearing loss,Female,967.0
H92,Otalgia and effusion of ear,Female,1665.0
H93,"Other disorders of ear, not elsewhere classified",Female,579.0
H94,Other disorders of ear in diseases classified elsewhere,Female,1.0
H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",Female,220.0
I00,Rheumatic fever without mention of heart involvement,Female,21.0
I01,Rheumatic fever with heart involvement,Female,19.0
I02,Rheumatic chorea,Female,33.0
I05,Rheumatic mitral valve diseases,Female,493.0
I06,Rheumatic aortic valve diseases,Female,18.0
I07,Rheumatic tricuspid valve diseases,Female,306.0
I08,Multiple valve diseases,Female,8630.0
I09,Other rheumatic heart diseases,Female,11.0
I10,Essential (primary) hypertension,Female,30728.0
I11,Hypertensive heart disease,Female,464.0
I12,Hypertensive renal disease,Female,282.0
I13,Hypertensive heart and renal disease,Female,1605.0
I15,Secondary hypertension,Female,102.0
I20,Angina pectoris,Female,23975.0
I21,Acute myocardial infarction,Female,55641.0
I22,Subsequent myocardial infarction,Female,436.0
I23,Certain current complications following acute myocardial infarction,Female,96.0
I24,Other acute ischaemic heart diseases,Female,9203.0
I25,Chronic ischaemic heart disease,Female,27127.0
I26,Pulmonary embolism,Female,35933.0
I27,Other pulmonary heart diseases,Female,6725.0
I28,Other diseases of pulmonary vessels,Female,108.0
I30,Acute pericarditis,Female,894.0
I31,Other diseases of pericardium,Female,5774.0
I32,Pericarditis in diseases classified elsewhere,Female,18.0
I33,Acute and subacute endocarditis,Female,3103.0
I34,Nonrheumatic mitral valve disorders,Female,2549.0
I35,Nonrheumatic aortic valve disorders,Female,10716.0
I36,Nonrheumatic tricuspid valve disorders,Female,123.0
I37,Pulmonary valve disorders,Female,205.0
I38,"Endocarditis, valve unspecified",Female,132.0
I39,Endocarditis and heart valve disorders in diseases classified elsewhere,Female,6.0
I40,Acute myocarditis,Female,367.0
I41,Myocarditis in diseases classified elsewhere,Female,17.0
I42,Cardiomyopathy,Female,4580.0
I43,Cardiomyopathy in diseases classified elsewhere,Female,25.0
I44,Atrioventricular and left bundle-branch block,Female,14187.0
I45,Other conduction disorders,Female,2497.0
I46,Cardiac arrest,Female,1942.0
I47,Paroxysmal tachycardia,Female,12082.0
I48,Atrial fibrillation and flutter,Female,74128.0
I49,Other cardiac arrhythmias,Female,10967.0
I50,Heart failure,Female,105988.0
I51,Complications and ill-defined descriptions of heart disease,Female,2925.0
I52,Other heart disorders in diseases classified elsewhere,Female,0.0
I60,Subarachnoid haemorrhage,Female,6368.0
I61,Intracerebral haemorrhage,Female,15065.0
I62,Other nontraumatic intracranial haemorrhage,Female,3499.0
I63,Cerebral infarction,Female,79261.0
I64,"Stroke, not specified as haemorrhage or infarction",Female,2647.0
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Female,1667.0
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Female,315.0
I67,Other cerebrovascular diseases,Female,5041.0
I68,Cerebrovascular disorders in diseases classified elsewhere,Female,120.0
I69,Sequelae of cerebrovascular disease,Female,4.0
I70,Atherosclerosis,Female,7829.0
I71,Aortic aneurysm and dissection,Female,3976.0
I72,Other aneurysm and dissection,Female,2197.0
I73,Other peripheral vascular diseases,Female,4732.0
I74,Arterial embolism and thrombosis,Female,4091.0
I77,Other disorders of arteries and arterioles,Female,6471.0
I78,Diseases of capillaries,Female,1614.0
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",Female,38.0
I80,Phlebitis and thrombophlebitis,Female,18861.0
I81,Portal vein thrombosis,Female,476.0
I82,Other venous embolism and thrombosis,Female,2237.0
I83,Varicose veins of lower extremities,Female,18635.0
I85,Oesophageal varices,Female,5722.0
I86,Varicose veins of other sites,Female,854.0
I87,Other disorders of veins,Female,2115.0
I88,Nonspecific lymphadenitis,Female,3330.0
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,Female,2124.0
I95,Hypotension,Female,28108.0
I97,"Postprocedural disorders of circulatory system, not elsewhere classified",Female,88.0
I98,Other disorders of circulatory system in diseases classified elsewhere,Female,2795.0
I99,Other and unspecified disorders of circulatory system,Female,310.0
J00,Acute nasopharyngitis [common cold],Female,919.0
J01,Acute sinusitis,Female,1223.0
J02,Acute pharyngitis,Female,4818.0
J03,Acute tonsillitis,Female,41165.0
J04,Acute laryngitis and tracheitis,Female,849.0
J05,Acute obstructive laryngitis [croup] and epiglottitis,Female,2808.0
J06,Acute upper respiratory infections of multiple and unspecified sites,Female,22231.0
J09,Influenza due to identified zoonotic or pandemic influenza virus,Female,141.0
J10,Influenza due to identified seasonal influenza virus,Female,25629.0
J11,"Influenza, virus not identified",Female,1181.0
J12,"Viral pneumonia, not elsewhere classified",Female,6757.0
J13,Pneumonia due to Streptococcus pneumoniae,Female,4068.0
J14,Pneumonia due to Haemophilus influenzae,Female,1380.0
J15,"Bacterial pneumonia, not elsewhere classified",Female,7380.0
J16,"Pneumonia due to other infectious organisms, not elsewhere classified",Female,53.0
J17,Pneumonia in diseases classified elsewhere,Female,221.0
J18,"Pneumonia, organism unspecified",Female,266914.0
J20,Acute bronchitis,Female,3492.0
J21,Acute bronchiolitis,Female,23350.0
J22,Unspecified acute lower respiratory infection,Female,97671.0
J30,Vasomotor and allergic rhinitis,Female,2051.0
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",Female,678.0
J32,Chronic sinusitis,Female,4795.0
J33,Nasal polyp,Female,2719.0
J34,Other disorders of nose and nasal sinuses,Female,10981.0
J35,Chronic diseases of tonsils and adenoids,Female,10343.0
J36,Peritonsillar abscess,Female,5733.0
J37,Chronic laryngitis and laryngotracheitis,Female,50.0
J38,"Diseases of vocal cords and larynx, not elsewhere classified",Female,7013.0
J39,Other diseases of upper respiratory tract,Female,2473.0
J40,"Bronchitis, not specified as acute or chronic",Female,1817.0
J41,Simple and mucopurulent chronic bronchitis,Female,17.0
J42,Unspecified chronic bronchitis,Female,197.0
J43,Emphysema,Female,3741.0
J44,Other chronic obstructive pulmonary disease,Female,128609.0
J45,Asthma,Female,63102.0
J46,Status asthmaticus,Female,5067.0
J47,Bronchiectasis,Female,15552.0
J60,Coalworker pneumoconiosis,Female,20.0
J61,Pneumoconiosis due to asbestos and other mineral fibres,Female,1.0
J62,Pneumoconiosis due to dust containing silica,Female,50.0
J63,Pneumoconiosis due to other inorganic dusts,Female,1.0
J64,Unspecified pneumoconiosis,Female,2.0
J66,Airway disease due to specific organic dust,Female,11.0
J67,Hypersensitivity pneumonitis due to organic dust,Female,1220.0
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",Female,75.0
J69,Pneumonitis due to solids and liquids,Female,32690.0
J70,Respiratory conditions due to other external agents,Female,492.0
J80,Adult respiratory distress syndrome,Female,210.0
J81,Pulmonary oedema,Female,736.0
J82,"Pulmonary eosinophilia, not elsewhere classified",Female,5814.0
J84,Other interstitial pulmonary diseases,Female,9969.0
J85,Abscess of lung and mediastinum,Female,1132.0
J86,Pyothorax,Female,3120.0
J90,"Pleural effusion, not elsewhere classified",Female,16798.0
J91,Pleural effusion in conditions classified elsewhere,Female,554.0
J92,Pleural plaque,Female,71.0
J93,Pneumothorax,Female,4690.0
J94,Other pleural conditions,Female,872.0
J95,"Postprocedural respiratory disorders, not elsewhere classified",Female,569.0
J96,"Respiratory failure, not elsewhere classified",Female,16794.0
J98,Other respiratory disorders,Female,9219.0
J99,Respiratory disorders in diseases classified elsewhere,Female,226.0
K00,Disorders of tooth development and eruption,Female,3558.0
K01,Embedded and impacted teeth,Female,15399.0
K02,Dental caries,Female,34042.0
K03,Other diseases of hard tissues of teeth,Female,505.0
K04,Diseases of pulp and periapical tissues,Female,7656.0
K05,Gingivitis and periodontal diseases,Female,6793.0
K06,Other disorders of gingiva and edentulous alveolar ridge,Female,1369.0
K07,Dentofacial anomalies [including malocclusion],Female,9347.0
K08,Other disorders of teeth and supporting structures,Female,9661.0
K09,"Cysts of oral region, not elsewhere classified",Female,1084.0
K10,Other diseases of jaws,Female,1783.0
K11,Diseases of salivary glands,Female,4438.0
K12,Stomatitis and related lesions,Female,3955.0
K13,Other diseases of lip and oral mucosa,Female,7899.0
K14,Diseases of tongue,Female,3430.0
K20,Oesophagitis,Female,10361.0
K21,Gastro-oesophageal reflux disease,Female,54905.0
K22,Other diseases of oesophagus,Female,41579.0
K23,Disorders of oesophagus in diseases classified elsewhere,Female,55.0
K25,Gastric ulcer,Female,12125.0
K26,Duodenal ulcer,Female,5045.0
K27,"Peptic ulcer, site unspecified",Female,423.0
K28,Gastrojejunal ulcer,Female,313.0
K29,Gastritis and duodenitis,Female,94302.0
K30,Functional dyspepsia,Female,3628.0
K31,Other diseases of stomach and duodenum,Female,32021.0
K35,Acute appendicitis,Female,25572.0
K36,Other appendicitis,Female,387.0
K37,Unspecified appendicitis,Female,2659.0
K38,Other diseases of appendix,Female,1310.0
K40,Inguinal hernia,Female,7806.0
K41,Femoral hernia,Female,3434.0
K42,Umbilical hernia,Female,11782.0
K43,Ventral hernia,Female,16435.0
K44,Diaphragmatic hernia,Female,40839.0
K45,Other abdominal hernia,Female,615.0
K46,Unspecified abdominal hernia,Female,606.0
K50,Crohn disease [regional enteritis],Female,83212.0
K51,Ulcerative colitis,Female,72783.0
K52,Other noninfective gastroenteritis and colitis,Female,37234.0
K55,Vascular disorders of intestine,Female,8001.0
K56,Paralytic ileus and intestinal obstruction without hernia,Female,37535.0
K57,Diverticular disease of intestine,Female,88813.0
K58,Irritable bowel syndrome,Female,4726.0
K59,Other functional intestinal disorders,Female,51004.0
K60,Fissure and fistula of anal and rectal regions,Female,10605.0
K61,Abscess of anal and rectal regions,Female,9843.0
K62,Other diseases of anus and rectum,Female,41751.0
K63,Other diseases of intestine,Female,69767.0
K64,Haemorrhoids and perianal venous thrombosis,Female,57997.0
K65,Peritonitis,Female,4215.0
K66,Other disorders of peritoneum,Female,3313.0
K67,Disorders of peritoneum in infectious diseases classified elsewhere,Female,3.0
K70,Alcoholic liver disease,Female,20891.0
K71,Toxic liver disease,Female,1357.0
K72,"Hepatic failure, not elsewhere classified",Female,4239.0
K73,"Chronic hepatitis, not elsewhere classified",Female,183.0
K74,Fibrosis and cirrhosis of liver,Female,7156.0
K75,Other inflammatory liver diseases,Female,5672.0
K76,Other diseases of liver,Female,6437.0
K77,Liver disorders in diseases classified elsewhere,Female,18.0
K80,Cholelithiasis,Female,123030.0
K81,Cholecystitis,Female,14723.0
K82,Other diseases of gallbladder,Female,3388.0
K83,Other diseases of biliary tract,Female,17518.0
K85,Acute pancreatitis,Female,26721.0
K86,Other diseases of pancreas,Female,7737.0
K87,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",Female,15.0
K90,Intestinal malabsorption,Female,5950.0
K91,"Postprocedural disorders of digestive system, not elsewhere classified",Female,10593.0
K92,Other diseases of digestive system,Female,65343.0
K93,Disorders of other digestive organs in diseases classified elsewhere,Female,9.0
L00,Staphylococcal scalded skin syndrome,Female,79.0
L01,Impetigo,Female,614.0
L02,"Cutaneous abscess, furuncle and carbuncle",Female,27912.0
L03,Cellulitis,Female,75127.0
L04,Acute lymphadenitis,Female,1323.0
L05,Pilonidal cyst,Female,8488.0
L08,Other local infections of skin and subcutaneous tissue,Female,3451.0
L10,Pemphigus,Female,423.0
L11,Other acantholytic disorders,Female,83.0
L12,Pemphigoid,Female,1168.0
L13,Other bullous disorders,Female,150.0
L20,Atopic dermatitis,Female,825.0
L21,Seborrhoeic dermatitis,Female,119.0
L22,Diaper [napkin] dermatitis,Female,195.0
L23,Allergic contact dermatitis,Female,310.0
L24,Irritant contact dermatitis,Female,143.0
L25,Unspecified contact dermatitis,Female,228.0
L26,Exfoliative dermatitis,Female,50.0
L27,Dermatitis due to substances taken internally,Female,2174.0
L28,Lichen simplex chronicus and prurigo,Female,526.0
L29,Pruritus,Female,899.0
L30,Other dermatitis,Female,4155.0
L40,Psoriasis,Female,3803.0
L41,Parapsoriasis,Female,24.0
L42,Pityriasis rosea,Female,24.0
L43,Lichen planus,Female,1077.0
L44,Other papulosquamous disorders,Female,61.0
L50,Urticaria,Female,5370.0
L51,Erythema multiforme,Female,646.0
L52,Erythema nodosum,Female,379.0
L53,Other erythematous conditions,Female,1062.0
L54,Erythema in diseases classified elsewhere,Female,6.0
L55,Sunburn,Female,96.0
L56,Other acute skin changes due to ultraviolet radiation,Female,137.0
L57,Skin changes due to chronic exposure to nonionizing radiation,Female,7078.0
L58,Radiodermatitis,Female,36.0
L59,Other disorders of skin and subcutaneous tissue related to radiation,Female,78.0
L60,Nail disorders,Female,2526.0
L62,Nail disorders in diseases classified elsewhere,Female,1.0
L63,Alopecia areata,Female,111.0
L64,Androgenic alopecia,Female,43.0
L65,Other nonscarring hair loss,Female,294.0
L66,Cicatricial alopecia [scarring hair loss],Female,217.0
L67,Hair colour and hair shaft abnormalities,Female,2.0
L68,Hypertrichosis,Female,221.0
L70,Acne,Female,106.0
L71,Rosacea,Female,89.0
L72,Follicular cysts of skin and subcutaneous tissue,Female,19214.0
L73,Other follicular disorders,Female,2595.0
L74,Eccrine sweat disorders,Female,55.0
L75,Apocrine sweat disorders,Female,6.0
L80,Vitiligo,Female,27.0
L81,Other disorders of pigmentation,Female,2291.0
L82,Seborrhoeic keratosis,Female,5920.0
L83,Acanthosis nigricans,Female,150.0
L84,Corns and callosities,Female,101.0
L85,Other epidermal thickening,Female,2499.0
L86,Keratoderma in diseases classified elsewhere,Female,1.0
L87,Transepidermal elimination disorders,Female,18.0
L88,Pyoderma gangrenosum,Female,681.0
L89,Decubitus ulcer and pressure area,Female,4446.0
L90,Atrophic disorders of skin,Female,4443.0
L91,Hypertrophic disorders of skin,Female,2560.0
L92,Granulomatous disorders of skin and subcutaneous tissue,Female,1233.0
L93,Lupus erythematosus,Female,258.0
L94,Other localized connective tissue disorders,Female,580.0
L95,"Vasculitis limited to skin, not elsewhere classified",Female,828.0
L97,"Ulcer of lower limb, not elsewhere classified",Female,11545.0
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",Female,22760.0
L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,Female,24.0
M00,Pyogenic arthritis,Female,3603.0
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,Female,10.0
M02,Reactive arthropathies,Female,496.0
M03,Postinfective and reactive arthropathies in diseases classified elsewhere,Female,11.0
M05,Seropositive rheumatoid arthritis,Female,21518.0
M06,Other rheumatoid arthritis,Female,29861.0
M07,Psoriatic and enteropathic arthropathies,Female,1605.0
M08,Juvenile arthritis,Female,7778.0
M09,Juvenile arthritis in diseases classified elsewhere,Female,283.0
M10,Gout,Female,2802.0
M11,Other crystal arthropathies,Female,1993.0
M12,Other specific arthropathies,Female,468.0
M13,Other arthritis,Female,5975.0
M14,Arthropathies in other diseases classified elsewhere,Female,135.0
M15,Polyarthrosis,Female,22280.0
M16,Coxarthrosis [arthrosis of hip],Female,50731.0
M17,Gonarthrosis [arthrosis of knee],Female,60198.0
M18,Arthrosis of first carpometacarpal joint,Female,5295.0
M19,Other arthrosis,Female,21151.0
M20,Acquired deformities of fingers and toes,Female,16187.0
M21,Other acquired deformities of limbs,Female,3411.0
M22,Disorders of patella,Female,1384.0
M23,Internal derangement of knee,Female,13392.0
M24,Other specific joint derangements,Female,5459.0
M25,"Other joint disorders, not elsewhere classified",Female,57670.0
M30,Polyarteritis nodosa and related conditions,Female,767.0
M31,Other necrotizing vasculopathies,Female,7178.0
M32,Systemic lupus erythematosus,Female,7411.0
M33,Dermatopolymyositis,Female,2879.0
M34,Systemic sclerosis,Female,2463.0
M35,Other systemic involvement of connective tissue,Female,4708.0
M36,Systemic disorders of connective tissue in diseases classified elsewhere,Female,19.0
M40,Kyphosis and lordosis,Female,202.0
M41,Scoliosis,Female,3347.0
M42,Spinal osteochondrosis,Female,14.0
M43,Other deforming dorsopathies,Female,3961.0
M45,Ankylosing spondylitis,Female,1490.0
M46,Other inflammatory spondylopathies,Female,5697.0
M47,Spondylosis,Female,18736.0
M48,Other spondylopathies,Female,16027.0
M49,Spondylopathies in diseases classified elsewhere,Female,258.0
M50,Cervical disc disorders,Female,5695.0
M51,Other intervertebral disc disorders,Female,35654.0
M53,"Other dorsopathies, not elsewhere classified",Female,2872.0
M54,Dorsalgia,Female,88518.0
M60,Myositis,Female,2443.0
M61,Calcification and ossification of muscle,Female,68.0
M62,Other disorders of muscle,Female,4622.0
M63,Disorders of muscle in diseases classified elsewhere,Female,4.0
M65,Synovitis and tenosynovitis,Female,8263.0
M66,Spontaneous rupture of synovium and tendon,Female,1113.0
M67,Other disorders of synovium and tendon,Female,7092.0
M68,Disorders of synovium and tendon in diseases classified elsewhere,Female,2.0
M70,"Soft tissue disorders related to use, overuse and pressure",Female,4577.0
M71,Other bursopathies,Female,2841.0
M72,Fibroblastic disorders,Female,7085.0
M73,Soft tissue disorders in diseases classified elsewhere,Female,4.0
M75,Shoulder lesions,Female,13751.0
M76,"Enthesopathies of lower limb, excluding foot",Female,1481.0
M77,Other enthesopathies,Female,2471.0
M79,"Other soft tissue disorders, not elsewhere classified",Female,82055.0
M80,Osteoporosis with pathological fracture,Female,11421.0
M81,Osteoporosis without pathological fracture,Female,39016.0
M82,Osteoporosis in diseases classified elsewhere,Female,26.0
M83,Adult osteomalacia,Female,47.0
M84,Disorders of continuity of bone,Female,6098.0
M85,Other disorders of bone density and structure,Female,2890.0
M86,Osteomyelitis,Female,7369.0
M87,Osteonecrosis,Female,1406.0
M88,Paget disease of bone [osteitis deformans],Female,164.0
M89,Other disorders of bone,Female,2834.0
M90,Osteopathies in diseases classified elsewhere,Female,1533.0
M91,Juvenile osteochondrosis of hip and pelvis,Female,113.0
M92,Other juvenile osteochondrosis,Female,317.0
M93,Other osteochondropathies,Female,724.0
M94,Other disorders of cartilage,Female,7455.0
M95,Other acquired deformities of musculoskeletal system and connective tissue,Female,362.0
M96,"Postprocedural musculoskeletal disorders, not elsewhere classified",Female,9612.0
M99,"Biomechanical lesions, not elsewhere classified",Female,306.0
N00,Acute nephritic syndrome,Female,91.0
N01,Rapidly progressive nephritic syndrome,Female,44.0
N02,Recurrent and persistent haematuria,Female,1184.0
N03,Chronic nephritic syndrome,Female,138.0
N04,Nephrotic syndrome,Female,2671.0
N05,Unspecified nephritic syndrome,Female,993.0
N06,Isolated proteinuria with specified morphological lesion,Female,41.0
N07,"Hereditary nephropathy, not elsewhere classified",Female,3.0
N08,Glomerular disorders in diseases classified elsewhere,Female,363.0
N10,Acute tubulo-interstitial nephritis,Female,6713.0
N11,Chronic tubulo-interstitial nephritis,Female,727.0
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",Female,29646.0
N13,Obstructive and reflux uropathy,Female,32160.0
N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,Female,135.0
N15,Other renal tubulo-interstitial diseases,Female,1093.0
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere,Female,71.0
N17,Acute renal failure,Female,49712.0
N18,Chronic kidney disease,Female,26938.0
N19,Unspecified kidney failure,Female,363.0
N20,Calculus of kidney and ureter,Female,29960.0
N21,Calculus of lower urinary tract,Female,1667.0
N22,Calculus of urinary tract in diseases classified elsewhere,Female,0.0
N23,Unspecified renal colic,Female,1891.0
N25,Disorders resulting from impaired renal tubular function,Female,199.0
N26,Unspecified contracted kidney,Female,200.0
N27,Small kidney of unknown cause,Female,22.0
N28,"Other disorders of kidney and ureter, not elsewhere classified",Female,3310.0
N29,Other disorders of kidney and ureter in diseases classified elsewhere,Female,10.0
N30,Cystitis,Female,12017.0
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",Female,2953.0
N32,Other disorders of bladder,Female,16792.0
N33,Bladder disorders in diseases classified elsewhere,Female,0.0
N34,Urethritis and urethral syndrome,Female,128.0
N35,Urethral stricture,Female,3549.0
N36,Other disorders of urethra,Female,976.0
N37,Urethral disorders in diseases classified elsewhere,Female,0.0
N39,Other disorders of urinary system,Female,149750.0
N40,Hyperplasia of prostate,Female,10.0
N41,Inflammatory diseases of prostate,Female,6.0
N42,Other disorders of prostate,Female,0.0
N43,Hydrocele and spermatocele,Female,8.0
N44,Torsion of testis,Female,7.0
N45,Orchitis and epididymitis,Female,13.0
N46,Male infertility,Female,1.0
N47,"Redundant prepuce, phimosis and paraphimosis",Female,12.0
N48,Other disorders of penis,Female,8.0
N49,"Inflammatory disorders of male genital organs, not elsewhere classified",Female,4.0
N50,Other disorders of male genital organs,Female,20.0
N51,Disorders of male genital organs in diseases classified elsewhere,Female,1.0
N60,Benign mammary dysplasia,Female,4748.0
N61,Inflammatory disorders of breast,Female,6585.0
N62,Hypertrophy of breast,Female,834.0
N63,Unspecified lump in breast,Female,1658.0
N64,Other disorders of breast,Female,4104.0
N70,Salpingitis and oophoritis,Female,5121.0
N71,"Inflammatory disease of uterus, except cervix",Female,1054.0
N72,Inflammatory disease of cervix uteri,Female,589.0
N73,Other female pelvic inflammatory diseases,Female,8944.0
N74,Female pelvic inflammatory disorders in diseases classified elsewhere,Female,32.0
N75,Diseases of Bartholin gland,Female,6694.0
N76,Other inflammation of vagina and vulva,Female,4611.0
N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere,Female,45.0
N80,Endometriosis,Female,24542.0
N81,Female genital prolapse,Female,20117.0
N82,Fistulae involving female genital tract,Female,1583.0
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",Female,22773.0
N84,Polyp of female genital tract,Female,27283.0
N85,"Other noninflammatory disorders of uterus, except cervix",Female,8260.0
N86,Erosion and ectropion of cervix uteri,Female,738.0
N87,Dysplasia of cervix uteri,Female,4512.0
N88,Other noninflammatory disorders of cervix uteri,Female,1584.0
N89,Other noninflammatory disorders of vagina,Female,3631.0
N90,Other noninflammatory disorders of vulva and perineum,Female,5512.0
N91,"Absent, scanty and rare menstruation",Female,330.0
N92,"Excessive, frequent and irregular menstruation",Female,27899.0
N93,Other abnormal uterine and vaginal bleeding,Female,17508.0
N94,Pain and other conditions associated with female genital organs and menstrual cycle,Female,6207.0
N95,Menopausal and other perimenopausal disorders,Female,19598.0
N96,Habitual aborter,Female,138.0
N97,Female infertility,Female,7325.0
N98,Complications associated with artificial fertilization,Female,706.0
N99,"Postprocedural disorders of genitourinary system, not elsewhere classified",Female,2127.0
O00,Ectopic pregnancy,Female,12021.0
O01,Hydatidiform mole,Female,749.0
O02,Other abnormal products of conception,Female,20197.0
O03,Spontaneous abortion,Female,35920.0
O04,Medical abortion,Female,31443.0
O05,Other abortion,Female,26.0
O06,Unspecified abortion,Female,40.0
O07,Failed attempted abortion,Female,204.0
O08,Complications following abortion and ectopic and molar pregnancy,Female,2894.0
O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Female,4340.0
O11,Pre-eclampsia superimposed on chronic hypertension,Female,749.0
O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,Female,3823.0
O13,Gestational [pregnancy-induced] hypertension,Female,18149.0
O14,Pre-eclampsia,Female,15304.0
O15,Eclampsia,Female,263.0
O16,Unspecified maternal hypertension,Female,7189.0
O20,Haemorrhage in early pregnancy,Female,40703.0
O21,Excessive vomiting in pregnancy,Female,38476.0
O22,Venous complications and haemorrhoids in pregnancy,Female,1376.0
O23,Infections of genitourinary tract in pregnancy,Female,20598.0
O24,Diabetes mellitus in pregnancy,Female,25766.0
O25,Malnutrition in pregnancy,Female,11.0
O26,Maternal care for other conditions predominantly related to pregnancy,Female,121180.0
O28,Abnormal findings on antenatal screening of mother,Female,15487.0
O29,Complications of anaesthesia during pregnancy,Female,41.0
O30,Multiple gestation,Female,2840.0
O31,Complications specific to multiple gestation,Female,211.0
O32,Maternal care for known or suspected malpresentation of fetus,Female,32718.0
O33,Maternal care for known or suspected disproportion,Female,231.0
O34,Maternal care for known or suspected abnormality of pelvic organs,Female,71083.0
O35,Maternal care for known or suspected fetal abnormality and damage,Female,4283.0
O36,Maternal care for other known or suspected fetal problems,Female,254328.0
O40,Polyhydramnios,Female,3527.0
O41,Other disorders of amniotic fluid and membranes,Female,4659.0
O42,Premature rupture of membranes,Female,44534.0
O43,Placental disorders,Female,1620.0
O44,Placenta praevia,Female,7397.0
O45,Premature separation of placenta [abruptio placentae],Female,1882.0
O46,"Antepartum haemorrhage, not elsewhere classified",Female,25031.0
O47,False labour,Female,9353.0
O48,Prolonged pregnancy,Female,14647.0
O60,Preterm labour and delivery,Female,9079.0
O61,Failed induction of labour,Female,7475.0
O62,Abnormalities of forces of labour,Female,13008.0
O63,Long labour,Female,35712.0
O64,Obstructed labour due to malposition and malpresentation of fetus,Female,2699.0
O65,Obstructed labour due to maternal pelvic abnormality,Female,206.0
O66,Other obstructed labour,Female,5012.0
O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",Female,488.0
O68,Labour and delivery complicated by fetal stress [distress],Female,103509.0
O69,Labour and delivery complicated by umbilical cord complications,Female,1499.0
O70,Perineal laceration during delivery,Female,93512.0
O71,Other obstetric trauma,Female,1620.0
O72,Postpartum haemorrhage,Female,23707.0
O73,"Retained placenta and membranes, without haemorrhage",Female,1482.0
O74,Complications of anaesthesia during labour and delivery,Female,607.0
O75,"Other complications of labour and delivery, not elsewhere classified",Female,7051.0
O80,Single spontaneous delivery,Female,12648.0
O81,Single delivery by forceps and vacuum extractor,Female,73.0
O82,Single delivery by caesarean section,Female,5896.0
O83,Other assisted single delivery,Female,33.0
O85,Puerperal sepsis,Female,2863.0
O86,Other puerperal infections,Female,12446.0
O87,Venous complications and haemorrhoids in the puerperium,Female,617.0
O88,Obstetric embolism,Female,741.0
O89,Complications of anaesthesia during the puerperium,Female,409.0
O90,"Complications of the puerperium, not elsewhere classified",Female,15283.0
O91,Infections of breast associated with childbirth,Female,2748.0
O92,Other disorders of breast and lactation associated with childbirth,Female,592.0
O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",Female,4491.0
O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",Female,55722.0
P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,Female,4.0
P01,Fetus and newborn affected by maternal complications of pregnancy,Female,12.0
P02,"Fetus and newborn affected by complications of placenta, cord and membranes",Female,53.0
P03,Fetus and newborn affected by other complications of labour and delivery,Female,4.0
P05,Slow fetal growth and fetal malnutrition,Female,3161.0
P07,"Disorders related to short gestation and low birth weight, not elsewhere classified",Female,23019.0
P08,Disorders related to long gestation and high birth weight,Female,3962.0
P10,Intracranial laceration and haemorrhage due to birth injury,Female,27.0
P11,Other birth injuries to central nervous system,Female,76.0
P12,Birth injury to scalp,Female,1756.0
P13,Birth injury to skeleton,Female,163.0
P14,Birth injury to peripheral nervous system,Female,125.0
P15,Other birth injuries,Female,1937.0
P20,Intrauterine hypoxia,Female,8975.0
P21,Birth asphyxia,Female,460.0
P22,Respiratory distress of newborn,Female,11928.0
P23,Congenital pneumonia,Female,363.0
P24,Neonatal aspiration syndromes,Female,675.0
P25,Interstitial emphysema and related conditions originating in the perinatal period,Female,187.0
P26,Pulmonary haemorrhage originating in the perinatal period,Female,11.0
P27,Chronic respiratory disease originating in the perinatal period,Female,465.0
P28,Other respiratory conditions originating in the perinatal period,Female,7613.0
P29,Cardiovascular disorders originating in the perinatal period,Female,1954.0
P35,Congenital viral diseases,Female,173.0
P36,Bacterial sepsis of newborn,Female,4592.0
P37,Other congenital infectious and parasitic diseases,Female,169.0
P38,Omphalitis of newborn with or without mild haemorrhage,Female,380.0
P39,Other infections specific to the perinatal period,Female,2890.0
P50,Fetal blood loss,Female,15.0
P51,Umbilical haemorrhage of newborn,Female,41.0
