BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Female,01-04 years,2260
Gender and Age Group,Female,05-09 years,1425
Gender and Age Group,Female,10-14 years,1595
Gender and Age Group,Female,15-19 years,3515
Gender and Age Group,Female,20-24 years,8375
Gender and Age Group,Female,25-29 years,11850
Gender and Age Group,Female,30-34 years,10845
Gender and Age Group,Female,35-39 years,7780
Gender and Age Group,Female,40-44 years,5680
Gender and Age Group,Female,45-49 years,6910
Gender and Age Group,Female,50-54 years,7800
Gender and Age Group,Female,55-59 years,9360
Gender and Age Group,Female,60-64 years,8970
Gender and Age Group,Female,65-69 years,9790
Gender and Age Group,Female,70-74 years,12345
Gender and Age Group,Female,75-79 years,11840
Gender and Age Group,Female,80-84 years,11290
Gender and Age Group,Female,85-89 years,9345
Gender and Age Group,Female,90-94 years,5500
Gender and Age Group,Female,95 years or older,1785
Gender and Age Group,Male,0 years,3355
Gender and Age Group,Male,01-04 years,2775
Gender and Age Group,Male,05-09 years,1870
Gender and Age Group,Male,10-14 years,1585
Gender and Age Group,Male,15-19 years,1740
Gender and Age Group,Male,20-24 years,2090
Gender and Age Group,Male,25-29 years,2910
Gender and Age Group,Male,30-34 years,3270
Gender and Age Group,Male,35-39 years,3740
Gender and Age Group,Male,40-44 years,3990
Gender and Age Group,Male,45-49 years,5330
Gender and Age Group,Male,50-54 years,6790
Gender and Age Group,Male,55-59 years,9590
Gender and Age Group,Male,60-64 years,10000
Gender and Age Group,Male,65-69 years,11220
Gender and Age Group,Male,70-74 years,13945
Gender and Age Group,Male,75-79 years,13260
Gender and Age Group,Male,80-84 years,11060
Gender and Age Group,Male,85-89 years,8020
Gender and Age Group,Male,90-94 years,3155
Gender and Age Group,Male,95 years or older,790
Gender and Age Group,Female,0 years,3657272
Gender and Age Group,Female,01-04 years,3089794
Gender and Age Group,Female,05-09 years,2243814
Gender and Age Group,Female,10-14 years,2819579
Gender and Age Group,Female,15-19 years,5000650
Gender and Age Group,Female,20-24 years,10512786
Gender and Age Group,Female,25-29 years,15806623
Gender and Age Group,Female,30-34 years,15600721
Gender and Age Group,Female,35-39 years,10633348
Gender and Age Group,Female,40-44 years,7621850
Gender and Age Group,Female,45-49 years,9408562
Gender and Age Group,Female,50-54 years,11325287
Gender and Age Group,Female,55-59 years,13004613
Gender and Age Group,Female,60-64 years,13494654
Gender and Age Group,Female,65-69 years,15110450
Gender and Age Group,Female,70-74 years,20114416
Gender and Age Group,Female,75-79 years,19979742
Gender and Age Group,Female,80-84 years,19686761
Gender and Age Group,Female,85-89 years,17282297
Gender and Age Group,Female,90-94 years,10943333
Gender and Age Group,Female,95 years or older,3482788
Gender and Age Group,Male,0 years,4396072
Gender and Age Group,Male,01-04 years,3669642
Gender and Age Group,Male,05-09 years,3127281
Gender and Age Group,Male,10-14 years,3017569
Gender and Age Group,Male,15-19 years,2923399
Gender and Age Group,Male,20-24 years,3422508
Gender and Age Group,Male,25-29 years,4077767
Gender and Age Group,Male,30-34 years,4236890
Gender and Age Group,Male,35-39 years,5288619
Gender and Age Group,Male,40-44 years,5827387
Gender and Age Group,Male,45-49 years,7624524
Gender and Age Group,Male,50-54 years,10416066
Gender and Age Group,Male,55-59 years,13287846
Gender and Age Group,Male,60-64 years,15840801
Gender and Age Group,Male,65-69 years,17723077
Gender and Age Group,Male,70-74 years,24282023
Gender and Age Group,Male,75-79 years,22847562
Gender and Age Group,Male,80-84 years,19738150
Gender and Age Group,Male,85-89 years,14368463
Gender and Age Group,Male,90-94 years,5462169
Gender and Age Group,Male,95 years or older,1509069
Gender and Age Group,Female,0 years,1075
Gender and Age Group,Female,01-04 years,785
Gender and Age Group,Female,05-09 years,640
Gender and Age Group,Female,10-14 years,610
Gender and Age Group,Female,15-19 years,1535
Gender and Age Group,Female,20-24 years,3055
Gender and Age Group,Female,25-29 years,4145
Gender and Age Group,Female,30-34 years,3630
Gender and Age Group,Female,35-39 years,2670
Gender and Age Group,Female,40-44 years,2275
Gender and Age Group,Female,45-49 years,2860
Gender and Age Group,Female,50-54 years,3905
Gender and Age Group,Female,55-59 years,4050
Gender and Age Group,Female,60-64 years,4280
Gender and Age Group,Female,65-69 years,4875
Gender and Age Group,Female,70-74 years,6095
Gender and Age Group,Female,75-79 years,5850
Gender and Age Group,Female,80-84 years,5340
Gender and Age Group,Female,85-89 years,3990
Gender and Age Group,Female,90-94 years,2310
Gender and Age Group,Female,95 years or older,700
Gender and Age Group,Female,Unknown,25
Gender and Age Group,Male,0 years,1395
Gender and Age Group,Male,01-04 years,1040
Gender and Age Group,Male,05-09 years,785
Gender and Age Group,Male,10-14 years,515
Gender and Age Group,Male,15-19 years,585
Gender and Age Group,Male,20-24 years,855
Gender and Age Group,Male,25-29 years,1245
Gender and Age Group,Male,30-34 years,1290
Gender and Age Group,Male,35-39 years,1335
Gender and Age Group,Male,40-44 years,1450
Gender and Age Group,Male,45-49 years,2145
Gender and Age Group,Male,50-54 years,2780
Gender and Age Group,Male,55-59 years,3815
Gender and Age Group,Male,60-64 years,4570
Gender and Age Group,Male,65-69 years,5605
Gender and Age Group,Male,70-74 years,7005
Gender and Age Group,Male,75-79 years,6250
Gender and Age Group,Male,80-84 years,5800
Gender and Age Group,Male,85-89 years,3680
Gender and Age Group,Male,90-94 years,1615
Gender and Age Group,Male,95 years or older,365
Gender and Age Group,Female,0 years,944744
Gender and Age Group,Female,01-04 years,1055155
Gender and Age Group,Female,05-09 years,872805
Gender and Age Group,Female,10-14 years,1373844
Gender and Age Group,Female,15-19 years,2622844
Gender and Age Group,Female,20-24 years,6086572
Gender and Age Group,Female,25-29 years,9139256
Gender and Age Group,Female,30-34 years,7605204
Gender and Age Group,Female,35-39 years,4869996
Gender and Age Group,Female,40-44 years,3513091
Gender and Age Group,Female,45-49 years,4746867
Gender and Age Group,Female,50-54 years,5785471
Gender and Age Group,Female,55-59 years,5517358
Gender and Age Group,Female,60-64 years,6523856
Gender and Age Group,Female,65-69 years,7486652
Gender and Age Group,Female,70-74 years,10011916
Gender and Age Group,Female,75-79 years,10626430
Gender and Age Group,Female,80-84 years,10824549
Gender and Age Group,Female,85-89 years,9155137
Gender and Age Group,Female,90-94 years,5811342
Gender and Age Group,Female,95 years or older,1841439
Gender and Age Group,Female,Unknown,22830
Gender and Age Group,Male,0 years,1235528
Gender and Age Group,Male,01-04 years,1379126
Gender and Age Group,Male,05-09 years,999212
Gender and Age Group,Male,10-14 years,876762
Gender and Age Group,Male,15-19 years,1069807
Gender and Age Group,Male,20-24 years,1038096
Gender and Age Group,Male,25-29 years,1558545
Gender and Age Group,Male,30-34 years,1600380
Gender and Age Group,Male,35-39 years,1545274
Gender and Age Group,Male,40-44 years,2082025
Gender and Age Group,Male,45-49 years,2925924
Gender and Age Group,Male,50-54 years,3622129
Gender and Age Group,Male,55-59 years,5733318
Gender and Age Group,Male,60-64 years,6202571
Gender and Age Group,Male,65-69 years,8886189
Gender and Age Group,Male,70-74 years,10670269
Gender and Age Group,Male,75-79 years,10424731
Gender and Age Group,Male,80-84 years,10956516
Gender and Age Group,Male,85-89 years,8363658
Gender and Age Group,Male,90-94 years,3899039
Gender and Age Group,Male,95 years or older,981216
Gender and Age Group,Male,Unknown,25
Gender and Age Group,Female,0 years,760
Gender and Age Group,Female,01-04 years,625
Gender and Age Group,Female,05-09 years,310
Gender and Age Group,Female,10-14 years,265
Gender and Age Group,Female,15-19 years,335
Gender and Age Group,Female,20-24 years,540
Gender and Age Group,Female,25-29 years,925
Gender and Age Group,Female,30-34 years,1185
Gender and Age Group,Female,35-39 years,905
Gender and Age Group,Female,40-44 years,610
Gender and Age Group,Female,45-49 years,855
Gender and Age Group,Female,50-54 years,1000
Gender and Age Group,Female,55-59 years,1135
Gender and Age Group,Female,60-64 years,1090
Gender and Age Group,Female,65-69 years,1435
Gender and Age Group,Female,70-74 years,1975
Gender and Age Group,Female,75-79 years,2180
Gender and Age Group,Female,80-84 years,2290
Gender and Age Group,Female,85-89 years,1985
Gender and Age Group,Female,90-94 years,1255
Gender and Age Group,Female,95 years or older,425
Gender and Age Group,Male,0 years,1010
Gender and Age Group,Male,01-04 years,830
Gender and Age Group,Male,05-09 years,365
Gender and Age Group,Male,10-14 years,285
Gender and Age Group,Male,15-19 years,215
Gender and Age Group,Male,20-24 years,205
Gender and Age Group,Male,25-29 years,290
Gender and Age Group,Male,30-34 years,330
Gender and Age Group,Male,35-39 years,370
Gender and Age Group,Male,40-44 years,435
Gender and Age Group,Male,45-49 years,525
Gender and Age Group,Male,50-54 years,825
Gender and Age Group,Male,55-59 years,1105
Gender and Age Group,Male,60-64 years,1125
Gender and Age Group,Male,65-69 years,1375
Gender and Age Group,Male,70-74 years,1810
Gender and Age Group,Male,75-79 years,1895
Gender and Age Group,Male,80-84 years,1830
Gender and Age Group,Male,85-89 years,1460
Gender and Age Group,Male,90-94 years,645
Gender and Age Group,Male,95 years or older,230
Gender and Age Group,Female,0 years,638465
Gender and Age Group,Female,01-04 years,453118
Gender and Age Group,Female,05-09 years,329739
Gender and Age Group,Female,10-14 years,387477
Gender and Age Group,Female,15-19 years,549492
Gender and Age Group,Female,20-24 years,942381
Gender and Age Group,Female,25-29 years,1823283
Gender and Age Group,Female,30-34 years,2697266
Gender and Age Group,Female,35-39 years,1912932
Gender and Age Group,Female,40-44 years,1092164
Gender and Age Group,Female,45-49 years,1491624
Gender and Age Group,Female,50-54 years,1661803
Gender and Age Group,Female,55-59 years,1908664
Gender and Age Group,Female,60-64 years,2044757
Gender and Age Group,Female,65-69 years,2650164
Gender and Age Group,Female,70-74 years,3830799
Gender and Age Group,Female,75-79 years,4138054
Gender and Age Group,Female,80-84 years,5590158
Gender and Age Group,Female,85-89 years,5286188
Gender and Age Group,Female,90-94 years,3824528
Gender and Age Group,Female,95 years or older,1402425
Gender and Age Group,Male,0 years,912088
Gender and Age Group,Male,01-04 years,626783
Gender and Age Group,Male,05-09 years,407837
Gender and Age Group,Male,10-14 years,369058
Gender and Age Group,Male,15-19 years,331523
Gender and Age Group,Male,20-24 years,322930
Gender and Age Group,Male,25-29 years,441915
Gender and Age Group,Male,30-34 years,564454
Gender and Age Group,Male,35-39 years,644006
Gender and Age Group,Male,40-44 years,600477
Gender and Age Group,Male,45-49 years,790538
Gender and Age Group,Male,50-54 years,1232150
Gender and Age Group,Male,55-59 years,1770341
Gender and Age Group,Male,60-64 years,2094982
Gender and Age Group,Male,65-69 years,2485428
Gender and Age Group,Male,70-74 years,3354626
Gender and Age Group,Male,75-79 years,3743611
Gender and Age Group,Male,80-84 years,4047874
Gender and Age Group,Male,85-89 years,3975967
Gender and Age Group,Male,90-94 years,2006212
Gender and Age Group,Male,95 years or older,636781
Gender and Age Group,Female,0 years,1045
Gender and Age Group,Female,01-04 years,880
Gender and Age Group,Female,05-09 years,390
Gender and Age Group,Female,10-14 years,435
Gender and Age Group,Female,15-19 years,910
Gender and Age Group,Female,20-24 years,2370
Gender and Age Group,Female,25-29 years,3755
Gender and Age Group,Female,30-34 years,4635
Gender and Age Group,Female,35-39 years,3110
Gender and Age Group,Female,40-44 years,1675
Gender and Age Group,Female,45-49 years,1830
Gender and Age Group,Female,50-54 years,2215
Gender and Age Group,Female,55-59 years,2610
Gender and Age Group,Female,60-64 years,2530
Gender and Age Group,Female,65-69 years,2830
Gender and Age Group,Female,70-74 years,3680
Gender and Age Group,Female,75-79 years,3850
Gender and Age Group,Female,80-84 years,4055
Gender and Age Group,Female,85-89 years,3230
Gender and Age Group,Female,90-94 years,1860
Gender and Age Group,Female,95 years or older,620
Gender and Age Group,Male,0 years,1265
Gender and Age Group,Male,01-04 years,1055
Gender and Age Group,Male,05-09 years,595
Gender and Age Group,Male,10-14 years,475
Gender and Age Group,Male,15-19 years,480
Gender and Age Group,Male,20-24 years,685
Gender and Age Group,Male,25-29 years,805
Gender and Age Group,Male,30-34 years,960
Gender and Age Group,Male,35-39 years,1005
Gender and Age Group,Male,40-44 years,970
Gender and Age Group,Male,45-49 years,1415
Gender and Age Group,Male,50-54 years,1915
Gender and Age Group,Male,55-59 years,2450
Gender and Age Group,Male,60-64 years,2640
Gender and Age Group,Male,65-69 years,3060
Gender and Age Group,Male,70-74 years,4260
Gender and Age Group,Male,75-79 years,4070
Gender and Age Group,Male,80-84 years,3800
Gender and Age Group,Male,85-89 years,2680
Gender and Age Group,Male,90-94 years,1320
Gender and Age Group,Male,95 years or older,295
Gender and Age Group,Female,0 years,782373
Gender and Age Group,Female,01-04 years,723101
Gender and Age Group,Female,05-09 years,413715
Gender and Age Group,Female,10-14 years,523862
Gender and Age Group,Female,15-19 years,876602
Gender and Age Group,Female,20-24 years,1835657
Gender and Age Group,Female,25-29 years,3567767
Gender and Age Group,Female,30-34 years,4755439
Gender and Age Group,Female,35-39 years,3210159
Gender and Age Group,Female,40-44 years,1774138
Gender and Age Group,Female,45-49 years,2071458
Gender and Age Group,Female,50-54 years,2584332
Gender and Age Group,Female,55-59 years,3158021
Gender and Age Group,Female,60-64 years,3347950
Gender and Age Group,Female,65-69 years,3806166
Gender and Age Group,Female,70-74 years,5222342
Gender and Age Group,Female,75-79 years,5792601
Gender and Age Group,Female,80-84 years,6762898
Gender and Age Group,Female,85-89 years,5408615
Gender and Age Group,Female,90-94 years,3371387
Gender and Age Group,Female,95 years or older,1013236
Gender and Age Group,Male,0 years,954770
Gender and Age Group,Male,01-04 years,893122
Gender and Age Group,Male,05-09 years,534597
Gender and Age Group,Male,10-14 years,603748
Gender and Age Group,Male,15-19 years,632925
Gender and Age Group,Male,20-24 years,864602
Gender and Age Group,Male,25-29 years,867450
Gender and Age Group,Male,30-34 years,1032341
Gender and Age Group,Male,35-39 years,1131407
Gender and Age Group,Male,40-44 years,1143003
Gender and Age Group,Male,45-49 years,1844970
Gender and Age Group,Male,50-54 years,2586278
Gender and Age Group,Male,55-59 years,3001361
Gender and Age Group,Male,60-64 years,3848685
Gender and Age Group,Male,65-69 years,4617706
Gender and Age Group,Male,70-74 years,6209131
Gender and Age Group,Male,75-79 years,5618531
Gender and Age Group,Male,80-84 years,5902161
Gender and Age Group,Male,85-89 years,4462883
Gender and Age Group,Male,90-94 years,2049112
Gender and Age Group,Male,95 years or older,456733
Gender and Age Group,Female,0 years,1185
Gender and Age Group,Female,01-04 years,1625
Gender and Age Group,Female,05-09 years,1800
Gender and Age Group,Female,10-14 years,1665
Gender and Age Group,Female,15-19 years,2935
Gender and Age Group,Female,20-24 years,5355
Gender and Age Group,Female,25-29 years,8930
Gender and Age Group,Female,30-34 years,12040
Gender and Age Group,Female,35-39 years,10315
Gender and Age Group,Female,40-44 years,6990
Gender and Age Group,Female,45-49 years,6980
Gender and Age Group,Female,50-54 years,8850
Gender and Age Group,Female,55-59 years,10415
Gender and Age Group,Female,60-64 years,8905
Gender and Age Group,Female,65-69 years,8605
Gender and Age Group,Female,70-74 years,9390
Gender and Age Group,Female,75-79 years,9515
Gender and Age Group,Female,80-84 years,9930
Gender and Age Group,Female,85-89 years,8770
Gender and Age Group,Female,90-94 years,5105
Gender and Age Group,Female,95 years or older,1855
Gender and Age Group,Male,0 years,1575
Gender and Age Group,Male,01-04 years,2300
Gender and Age Group,Male,05-09 years,2120
Gender and Age Group,Male,10-14 years,2225
Gender and Age Group,Male,15-19 years,2135
Gender and Age Group,Male,20-24 years,2860
Gender and Age Group,Male,25-29 years,3765
Gender and Age Group,Male,30-34 years,4275
Gender and Age Group,Male,35-39 years,4310
Gender and Age Group,Male,40-44 years,4395
Gender and Age Group,Male,45-49 years,5615
Gender and Age Group,Male,50-54 years,8090
Gender and Age Group,Male,55-59 years,10485
Gender and Age Group,Male,60-64 years,9140
Gender and Age Group,Male,65-69 years,9325
Gender and Age Group,Male,70-74 years,10460
Gender and Age Group,Male,75-79 years,9460
Gender and Age Group,Male,80-84 years,9355
Gender and Age Group,Male,85-89 years,7010
Gender and Age Group,Male,90-94 years,3385
Gender and Age Group,Male,95 years or older,975
Gender and Age Group,Female,0 years,3914929
Gender and Age Group,Female,01-04 years,3650641
Gender and Age Group,Female,05-09 years,3580848
Gender and Age Group,Female,10-14 years,4446002
Gender and Age Group,Female,15-19 years,5961259
Gender and Age Group,Female,20-24 years,8436621
Gender and Age Group,Female,25-29 years,14762148
Gender and Age Group,Female,30-34 years,20589983
Gender and Age Group,Female,35-39 years,18736083
Gender and Age Group,Female,40-44 years,12452698
Gender and Age Group,Female,45-49 years,13068067
Gender and Age Group,Female,50-54 years,17806309
Gender and Age Group,Female,55-59 years,20292419
Gender and Age Group,Female,60-64 years,18734627
Gender and Age Group,Female,65-69 years,18589036
Gender and Age Group,Female,70-74 years,22008213
Gender and Age Group,Female,75-79 years,22264463
Gender and Age Group,Female,80-84 years,24006436
Gender and Age Group,Female,85-89 years,21557679
Gender and Age Group,Female,90-94 years,12686913
Gender and Age Group,Female,95 years or older,5142241
Gender and Age Group,Male,0 years,5292518
Gender and Age Group,Male,01-04 years,4946074
Gender and Age Group,Male,05-09 years,4169610
Gender and Age Group,Male,10-14 years,5020332
Gender and Age Group,Male,15-19 years,5479272
Gender and Age Group,Male,20-24 years,6529862
Gender and Age Group,Male,25-29 years,7522145
Gender and Age Group,Male,30-34 years,7808209
Gender and Age Group,Male,35-39 years,8268140
Gender and Age Group,Male,40-44 years,9127539
Gender and Age Group,Male,45-49 years,11847235
Gender and Age Group,Male,50-54 years,18338884
Gender and Age Group,Male,55-59 years,21092254
Gender and Age Group,Male,60-64 years,21902571
Gender and Age Group,Male,65-69 years,21932419
Gender and Age Group,Male,70-74 years,25239067
Gender and Age Group,Male,75-79 years,21746573
Gender and Age Group,Male,80-84 years,20710408
Gender and Age Group,Male,85-89 years,17439699
Gender and Age Group,Male,90-94 years,8155719
Gender and Age Group,Male,95 years or older,2202451
Gender and Age Group,Female,0 years,1465
Gender and Age Group,Female,01-04 years,940
Gender and Age Group,Female,05-09 years,580
Gender and Age Group,Female,10-14 years,555
Gender and Age Group,Female,15-19 years,1555
Gender and Age Group,Female,20-24 years,3625
Gender and Age Group,Female,25-29 years,5065
Gender and Age Group,Female,30-34 years,4275
Gender and Age Group,Female,35-39 years,2835
Gender and Age Group,Female,40-44 years,2090
Gender and Age Group,Female,45-49 years,2550
Gender and Age Group,Female,50-54 years,3280
Gender and Age Group,Female,55-59 years,3445
Gender and Age Group,Female,60-64 years,3560
Gender and Age Group,Female,65-69 years,3670
Gender and Age Group,Female,70-74 years,5175
Gender and Age Group,Female,75-79 years,5370
Gender and Age Group,Female,80-84 years,5290
Gender and Age Group,Female,85-89 years,4325
Gender and Age Group,Female,90-94 years,2495
Gender and Age Group,Female,95 years or older,920
Gender and Age Group,Male,0 years,1645
Gender and Age Group,Male,01-04 years,1110
Gender and Age Group,Male,05-09 years,750
Gender and Age Group,Male,10-14 years,495
Gender and Age Group,Male,15-19 years,520
Gender and Age Group,Male,20-24 years,770
Gender and Age Group,Male,25-29 years,1070
Gender and Age Group,Male,30-34 years,1150
Gender and Age Group,Male,35-39 years,1275
Gender and Age Group,Male,40-44 years,1435
Gender and Age Group,Male,45-49 years,2215
Gender and Age Group,Male,50-54 years,2920
Gender and Age Group,Male,55-59 years,3610
Gender and Age Group,Male,60-64 years,3840
Gender and Age Group,Male,65-69 years,4705
Gender and Age Group,Male,70-74 years,6125
Gender and Age Group,Male,75-79 years,5730
Gender and Age Group,Male,80-84 years,5355
Gender and Age Group,Male,85-89 years,3590
Gender and Age Group,Male,90-94 years,1635
Gender and Age Group,Male,95 years or older,470
Gender and Age Group,Female,0 years,1296640
Gender and Age Group,Female,01-04 years,787742
Gender and Age Group,Female,05-09 years,587759
Gender and Age Group,Female,10-14 years,781090
Gender and Age Group,Female,15-19 years,2008268
Gender and Age Group,Female,20-24 years,4490328
Gender and Age Group,Female,25-29 years,6684441
Gender and Age Group,Female,30-34 years,5885333
Gender and Age Group,Female,35-39 years,4007628
Gender and Age Group,Female,40-44 years,2598736
Gender and Age Group,Female,45-49 years,3255589
Gender and Age Group,Female,50-54 years,4415819
Gender and Age Group,Female,55-59 years,4603154
Gender and Age Group,Female,60-64 years,4795134
Gender and Age Group,Female,65-69 years,5508476
Gender and Age Group,Female,70-74 years,8019335
Gender and Age Group,Female,75-79 years,9272198
Gender and Age Group,Female,80-84 years,9836994
Gender and Age Group,Female,85-89 years,9075574
Gender and Age Group,Female,90-94 years,5582328
Gender and Age Group,Female,95 years or older,1980278
Gender and Age Group,Male,0 years,1449787
Gender and Age Group,Male,01-04 years,881814
Gender and Age Group,Male,05-09 years,792112
Gender and Age Group,Male,10-14 years,770915
Gender and Age Group,Male,15-19 years,757803
Gender and Age Group,Male,20-24 years,959394
Gender and Age Group,Male,25-29 years,1331597
Gender and Age Group,Male,30-34 years,1468856
Gender and Age Group,Male,35-39 years,1403083
Gender and Age Group,Male,40-44 years,1661074
Gender and Age Group,Male,45-49 years,2757220
Gender and Age Group,Male,50-54 years,3548247
Gender and Age Group,Male,55-59 years,4712419
Gender and Age Group,Male,60-64 years,5171466
Gender and Age Group,Male,65-69 years,6911267
Gender and Age Group,Male,70-74 years,9010884
Gender and Age Group,Male,75-79 years,8663866
Gender and Age Group,Male,80-84 years,8808941
Gender and Age Group,Male,85-89 years,6717418
Gender and Age Group,Male,90-94 years,3320400
Gender and Age Group,Male,95 years or older,894909
Gender and Age Group,Female,0 years,1465
Gender and Age Group,Female,01-04 years,1610
Gender and Age Group,Female,05-09 years,915
Gender and Age Group,Female,10-14 years,1020
Gender and Age Group,Female,15-19 years,2260
Gender and Age Group,Female,20-24 years,3375
Gender and Age Group,Female,25-29 years,4520
Gender and Age Group,Female,30-34 years,4515
Gender and Age Group,Female,35-39 years,3590
Gender and Age Group,Female,40-44 years,3125
Gender and Age Group,Female,45-49 years,3810
Gender and Age Group,Female,50-54 years,4765
Gender and Age Group,Female,55-59 years,5095
Gender and Age Group,Female,60-64 years,5385
Gender and Age Group,Female,65-69 years,6160
Gender and Age Group,Female,70-74 years,7835
Gender and Age Group,Female,75-79 years,7320
Gender and Age Group,Female,80-84 years,7000
Gender and Age Group,Female,85-89 years,5615
Gender and Age Group,Female,90-94 years,2915
Gender and Age Group,Female,95 years or older,1000
Gender and Age Group,Male,0 years,2060
Gender and Age Group,Male,01-04 years,2120
Gender and Age Group,Male,05-09 years,1065
Gender and Age Group,Male,10-14 years,1045
Gender and Age Group,Male,15-19 years,1310
Gender and Age Group,Male,20-24 years,1655
Gender and Age Group,Male,25-29 years,1750
Gender and Age Group,Male,30-34 years,1990
Gender and Age Group,Male,35-39 years,1955
Gender and Age Group,Male,40-44 years,2145
Gender and Age Group,Male,45-49 years,2865
Gender and Age Group,Male,50-54 years,4060
Gender and Age Group,Male,55-59 years,5090
Gender and Age Group,Male,60-64 years,6095
Gender and Age Group,Male,65-69 years,6850
Gender and Age Group,Male,70-74 years,9315
Gender and Age Group,Male,75-79 years,8990
Gender and Age Group,Male,80-84 years,7350
Gender and Age Group,Male,85-89 years,5255
Gender and Age Group,Male,90-94 years,2125
Gender and Age Group,Male,95 years or older,515
Gender and Age Group,Female,0 years,886631
Gender and Age Group,Female,01-04 years,1580165
Gender and Age Group,Female,05-09 years,1074544
Gender and Age Group,Female,10-14 years,1701652
Gender and Age Group,Female,15-19 years,3227476
Gender and Age Group,Female,20-24 years,5105463
Gender and Age Group,Female,25-29 years,7276165
Gender and Age Group,Female,30-34 years,7665859
Gender and Age Group,Female,35-39 years,6020552
Gender and Age Group,Female,40-44 years,4808418
Gender and Age Group,Female,45-49 years,5745291
Gender and Age Group,Female,50-54 years,7826528
Gender and Age Group,Female,55-59 years,8717480
Gender and Age Group,Female,60-64 years,10062896
Gender and Age Group,Female,65-69 years,12171207
Gender and Age Group,Female,70-74 years,15415029
Gender and Age Group,Female,75-79 years,14069077
Gender and Age Group,Female,80-84 years,13904532
Gender and Age Group,Female,85-89 years,10773038
Gender and Age Group,Female,90-94 years,5585198
Gender and Age Group,Female,95 years or older,1818171
Gender and Age Group,Male,0 years,1384882
Gender and Age Group,Male,01-04 years,2046152
Gender and Age Group,Male,05-09 years,1303910
Gender and Age Group,Male,10-14 years,1561214
Gender and Age Group,Male,15-19 years,2302001
Gender and Age Group,Male,20-24 years,2758075
Gender and Age Group,Male,25-29 years,2753871
Gender and Age Group,Male,30-34 years,3348731
Gender and Age Group,Male,35-39 years,3266818
Gender and Age Group,Male,40-44 years,3729209
Gender and Age Group,Male,45-49 years,5150135
Gender and Age Group,Male,50-54 years,7444890
Gender and Age Group,Male,55-59 years,10170146
Gender and Age Group,Male,60-64 years,12682410
Gender and Age Group,Male,65-69 years,14668500
Gender and Age Group,Male,70-74 years,18673321
Gender and Age Group,Male,75-79 years,18224029
Gender and Age Group,Male,80-84 years,13622544
Gender and Age Group,Male,85-89 years,9748604
Gender and Age Group,Male,90-94 years,3899503
Gender and Age Group,Male,95 years or older,834173
Gender and Age Group,Female,0 years,1620
Gender and Age Group,Female,01-04 years,1885
Gender and Age Group,Female,05-09 years,1265
Gender and Age Group,Female,10-14 years,1390
Gender and Age Group,Female,15-19 years,2750
Gender and Age Group,Female,20-24 years,4990
Gender and Age Group,Female,25-29 years,7345
Gender and Age Group,Female,30-34 years,7735
Gender and Age Group,Female,35-39 years,5775
Gender and Age Group,Female,40-44 years,4005
Gender and Age Group,Female,45-49 years,4710
Gender and Age Group,Female,50-54 years,5515
Gender and Age Group,Female,55-59 years,7000
Gender and Age Group,Female,60-64 years,5935
Gender and Age Group,Female,65-69 years,6160
Gender and Age Group,Female,70-74 years,7900
Gender and Age Group,Female,75-79 years,7715
Gender and Age Group,Female,80-84 years,6730
Gender and Age Group,Female,85-89 years,5185
Gender and Age Group,Female,90-94 years,2835
Gender and Age Group,Female,95 years or older,1290
Gender and Age Group,Male,0 years,2165
Gender and Age Group,Male,01-04 years,2615
Gender and Age Group,Male,05-09 years,1545
Gender and Age Group,Male,10-14 years,1540
Gender and Age Group,Male,15-19 years,1830
Gender and Age Group,Male,20-24 years,2035
Gender and Age Group,Male,25-29 years,2635
Gender and Age Group,Male,30-34 years,2725
Gender and Age Group,Male,35-39 years,2890
Gender and Age Group,Male,40-44 years,3265
Gender and Age Group,Male,45-49 years,4180
Gender and Age Group,Male,50-54 years,5160
Gender and Age Group,Male,55-59 years,7490
Gender and Age Group,Male,60-64 years,6495
Gender and Age Group,Male,65-69 years,7465
Gender and Age Group,Male,70-74 years,8640
Gender and Age Group,Male,75-79 years,7525
Gender and Age Group,Male,80-84 years,6515
Gender and Age Group,Male,85-89 years,4325
Gender and Age Group,Male,90-94 years,2130
Gender and Age Group,Male,95 years or older,505
Gender and Age Group,Female,0 years,1380969
Gender and Age Group,Female,01-04 years,1555030
Gender and Age Group,Female,05-09 years,1386950
Gender and Age Group,Female,10-14 years,2135871
Gender and Age Group,Female,15-19 years,3689380
Gender and Age Group,Female,20-24 years,6198340
Gender and Age Group,Female,25-29 years,9476615
Gender and Age Group,Female,30-34 years,10317582
Gender and Age Group,Female,35-39 years,8288768
Gender and Age Group,Female,40-44 years,5703579
Gender and Age Group,Female,45-49 years,6465903
Gender and Age Group,Female,50-54 years,8724379
Gender and Age Group,Female,55-59 years,9978118
Gender and Age Group,Female,60-64 years,9953027
Gender and Age Group,Female,65-69 years,10946162
Gender and Age Group,Female,70-74 years,14862676
Gender and Age Group,Female,75-79 years,16263038
Gender and Age Group,Female,80-84 years,14194551
Gender and Age Group,Female,85-89 years,11805970
Gender and Age Group,Female,90-94 years,6544711
Gender and Age Group,Female,95 years or older,3240525
Gender and Age Group,Male,0 years,1789445
Gender and Age Group,Male,01-04 years,1939885
Gender and Age Group,Male,05-09 years,1824545
Gender and Age Group,Male,10-14 years,2121937
