BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Female,35-39 years,6547268
Gender and Age Group,Female,40-44 years,5674324
Gender and Age Group,Female,45-49 years,6474405
Gender and Age Group,Female,50-54 years,7373372
Gender and Age Group,Female,55-59 years,7258502
Gender and Age Group,Female,60-64 years,6555035
Gender and Age Group,Female,65-69 years,6773188
Gender and Age Group,Female,70-74 years,8683598
Gender and Age Group,Female,75-79 years,8987248
Gender and Age Group,Female,80-84 years,9923922
Gender and Age Group,Female,85-89 years,9667280
Gender and Age Group,Female,90-94 years,6207521
Gender and Age Group,Female,95 years or older,2383790
Gender and Age Group,Female,Unknown,10734244
Gender and Age Group,Male,0 years,2201100
Gender and Age Group,Male,01-04 years,6098819
Gender and Age Group,Male,05-09 years,4321926
Gender and Age Group,Male,10-14 years,5366341
Gender and Age Group,Male,15-19 years,6266117
Gender and Age Group,Male,20-24 years,7809109
Gender and Age Group,Male,25-29 years,7723733
Gender and Age Group,Male,30-34 years,7290824
Gender and Age Group,Male,35-39 years,6692984
Gender and Age Group,Male,40-44 years,6111681
Gender and Age Group,Male,45-49 years,6847695
Gender and Age Group,Male,50-54 years,7754389
Gender and Age Group,Male,55-59 years,7751534
Gender and Age Group,Male,60-64 years,7100910
Gender and Age Group,Male,65-69 years,7465897
Gender and Age Group,Male,70-74 years,9046741
Gender and Age Group,Male,75-79 years,8776344
Gender and Age Group,Male,80-84 years,8703365
Gender and Age Group,Male,85-89 years,7299100
Gender and Age Group,Male,90-94 years,3614094
Gender and Age Group,Male,95 years or older,1028572
Gender and Age Group,Male,Unknown,10289689
Gender and Age Group,Female,0 years,26675
Gender and Age Group,Female,01-04 years,65790
Gender and Age Group,Female,05-09 years,44585
Gender and Age Group,Female,10-14 years,48130
Gender and Age Group,Female,15-19 years,65450
Gender and Age Group,Female,20-24 years,75645
Gender and Age Group,Female,25-29 years,71540
Gender and Age Group,Female,30-34 years,67255
Gender and Age Group,Female,35-39 years,58470
Gender and Age Group,Female,40-44 years,50635
Gender and Age Group,Female,45-49 years,53965
Gender and Age Group,Female,50-54 years,57650
Gender and Age Group,Female,55-59 years,54875
Gender and Age Group,Female,60-64 years,46775
Gender and Age Group,Female,65-69 years,44595
Gender and Age Group,Female,70-74 years,54215
Gender and Age Group,Female,75-79 years,52410
