code,description,sex,diagnosis_count,category
K35-K38,Diseases of appendix,Male,33349,Diseases of the digestive system (K00–K93)
K40-K46,Hernia,Male,133514,Diseases of the digestive system (K00–K93)
K50-K52,Noninfective enteritis & colitis,Male,194694,Diseases of the digestive system (K00–K93)
K55-K64,Other diseases of intestines,Male,351026,Diseases of the digestive system (K00–K93)
K65-K67,Diseases of peritoneum,Male,6686,Diseases of the digestive system (K00–K93)
K70-K77,Diseases of liver,Male,67059,Diseases of the digestive system (K00–K93)
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",Male,133584,Diseases of the digestive system (K00–K93)
K90-K93,Other diseases of the digestive system,Male,84471,Diseases of the digestive system (K00–K93)
L00-L08,Infections of the skin and subcutaneous tissue,Male,137897,Diseases of the skin and subcutaneous tissue (L00–L99)
L10-L14,Bullous disorders,Male,1772,Diseases of the skin and subcutaneous tissue (L00–L99)
L20-L30,Dermatitis and eczema,Male,9320,Diseases of the skin and subcutaneous tissue (L00–L99)
L40-L45,Papulosquamous disorders (including Psoriasis),Male,4656,Diseases of the skin and subcutaneous tissue (L00–L99)
L50-L54,Urticaria and erythems,Male,4662,Diseases of the skin and subcutaneous tissue (L00–L99)
L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,Male,9159,Diseases of the skin and subcutaneous tissue (L00–L99)
L60-L75,Disorders of skin appendages,Male,27421,Diseases of the skin and subcutaneous tissue (L00–L99)
L80-L99,Other disorders of the skin and subcutaneous tissue,Male,60635,Diseases of the skin and subcutaneous tissue (L00–L99)
M00-M25,Arthropathies,Male,227662,Diseases of the musculoskeletal system and connective tissue (M00–M99)
M30-M36,Systemic connective tissue disorders,Male,11071,Diseases of the musculoskeletal system and connective tissue (M00–M99)
M40-M54,Dorsopathies,Male,123375,Diseases of the musculoskeletal system and connective tissue (M00–M99)
M60-M79,Soft tissue disorders,Male,113403,Diseases of the musculoskeletal system and connective tissue (M00–M99)
M80-M94,Osteopathies and chondropathies,Male,45729,Diseases of the musculoskeletal system and connective tissue (M00–M99)
M95-M99,Other disorders of the musculoskeletal system & conn. tiss.,Male,6131,Diseases of the musculoskeletal system and connective tissue (M00–M99)
N00-N08,Glomerular diseases,Male,8262,Diseases of the genitourinary system (N00–N99)
N10-N16,Renal tubulo-interstitial diseases,Male,56040,Diseases of the genitourinary system (N00–N99)
N17-N19,Renal failure,Male,100397,Diseases of the genitourinary system (N00–N99)
N20-N23,Urolithiasis,Male,55626,Diseases of the genitourinary system (N00–N99)
N25-N29,Other disorders of kidney & ureter,Male,4649,Diseases of the genitourinary system (N00–N99)
N30-N39,Other diseases of the urinary system,Male,152196,Diseases of the genitourinary system (N00–N99)
N40-N51,Diseases of male genital organs,Male,137796,Diseases of the genitourinary system (N00–N99)
N60-N64,Disorders of breast,Male,796,Diseases of the genitourinary system (N00–N99)
N70-N77,Inflammatory diseases of female pelvic organs,Male,18,Diseases of the genitourinary system (N00–N99)
N80-N98,Noninflammatory disorders of female genital tract,Male,95,Diseases of the genitourinary system (N00–N99)
N99,Other disorders of the genitourinary system,Male,2160,Diseases of the genitourinary system (N00–N99)
O00-O08,Pregnancy with abortive outcome,Male,9,"Pregnancy, childbirth and the puerperium (O00–O99)"
O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",Male,3,"Pregnancy, childbirth and the puerperium (O00–O99)"
O20-O29,Other maternal disorders predominantly related to pregnancy,Male,25,"Pregnancy, childbirth and the puerperium (O00–O99)"
